,0,1,2,3,4,5,6,y_step_1,y_step_2,y_step_3
2018-04-28,0.07307185822158503,0.2298913165694455,0.2633333333333334,0.49860054394002873,0.36666666666666664,0.4822058478963529,0.876057943434428,550.0,1500.0,1500.0
2018-04-29,0.46687733039316537,0.9285546182021556,1.0,0.8156736919403329,1.0,0.48596895705254883,0.8739760710575879,1500.0,1500.0,1500.0
2018-04-30,0.5240064602531203,-0.03972163447268681,0.04333333333333335,0.97570971245284,1.0,0.48972307812389587,0.8718780343332756,1500.0,1500.0,1500.0
2018-05-01,0.47873586948112357,-0.07844918761845467,0.0,0.9348260728921787,1.0,0.49346814167723735,0.8697638720650646,1500.0,1500.0,1500.0
2018-05-02,0.4284443681547805,-0.07305663785688107,0.0,0.8842462874182502,1.0,0.49720407844693715,0.8676336233547729,1500.0,1500.0,1500.0
2018-05-03,0.3870980078392758,-0.06862323858302564,0.0,0.8426629188622883,1.0,0.5009308193361606,0.8654873276017407,1500.0,1500.0,1500.0
2018-05-04,0.34276994767667573,-0.0638701239621337,0.0,0.7980807585694265,1.0,0.5046482954181526,0.8633250245021008,1500.0,1500.0,1500.0
2018-05-05,0.3073870048282371,-0.06007615728806319,0.0,0.7624949913620185,1.0,0.5083564379375123,0.8611467540480451,1500.0,1500.0,1500.0
2018-05-06,0.27091077104870254,-0.056164961547563445,0.0,0.7258096661915943,1.0,0.5120551783114645,0.8589525565270845,1500.0,1500.0,1500.0
2018-05-07,0.2316515917402469,-0.05195536206383333,0.0,0.6863254429146082,1.0,0.515744448131129,0.856742472521304,1500.0,1500.0,1500.0
2018-05-08,0.18205583716323953,-0.0466374143496892,0.0,0.6364453923938527,1.0,0.5194241791627847,0.8545165429066118,1500.0,1500.0,1500.0
2018-05-09,0.15512108436403038,-0.04374931216632216,0.0,0.6093562424888432,1.0,0.5230943033491326,0.8522748088519838,1500.0,1500.0,589.0
2018-05-10,0.1313668094273333,-0.04120223947475507,0.0,0.585465801784153,1.0,0.5267547528105538,0.8500173118187019,1500.0,589.0,589.0
2018-05-11,0.11674430417083527,-0.02287212429648462,0.016666666666666673,0.5689723787116918,0.39266666666666666,0.530405459846365,0.8477440935595871,589.0,589.0,1500.0
2018-05-12,0.16336711315579056,0.04252996311299156,0.0866666666666667,0.6083566313409392,0.39266666666666666,0.5340463569360713,0.8454551961182274,589.0,1500.0,1500.0
2018-05-13,0.1835025694996384,0.02025627610341323,0.0666666666666667,0.6307520267421296,1.0,0.5376773767406141,0.8431506618282,1500.0,1500.0,1500.0
2018-05-14,0.1596566847015574,0.006050967346626143,0.050000000000000024,0.6085565488040174,1.0,0.5412984521036174,0.8408305333122887,1500.0,1500.0,1500.0
2018-05-15,0.19090655228922596,0.22060883038043355,0.2666666666666667,0.6167532779953717,1.0,0.5449095160526292,0.8384948534816952,1500.0,1500.0,1500.0
2018-05-16,0.18882942029884134,-0.04065883590653967,0.006666666666666669,0.6425429643902589,1.0,0.5485105018003605,0.8361436655352456,1500.0,1500.0,589.0
2018-05-17,0.1527235929127889,-0.02673003467517874,0.016666666666666673,0.6051579102245341,1.0,0.5521013427459208,0.8337770129585915,1500.0,589.0,589.0
2018-05-18,0.13037288973112704,-0.04109566557500169,0.0,0.5844661846781491,0.39266666666666666,0.5556819724760489,0.8313949395234058,589.0,589.0,589.0
2018-05-19,0.15195563048892552,-0.03670501187656148,0.006666666666666669,0.6054578042934509,0.39266666666666666,0.5592523247663423,0.8289974892865729,589.0,589.0,1500.0
2018-05-20,0.16625278946542876,-0.04494291888132015,0.0,0.6205517574593387,0.39266666666666666,0.5628123335824818,0.8265847065893738,589.0,1500.0,1500.0
2018-05-21,0.1474258386756241,-0.03957174190744205,0.0033333333333333344,0.6012594660709283,1.0,0.5663619330814524,0.8241566360566663,1500.0,1500.0,1500.0
2018-05-22,0.11393131659157997,-0.03598026278443321,0.0033333333333333344,0.5675729445537172,1.0,0.5699010576127614,0.8217133225960597,1500.0,1500.0,589.0
2018-05-23,0.10927456343329724,0.08185449236906996,0.12000000000000004,0.5503798133394184,1.0,0.5734296417196525,0.8192548113970836,1500.0,589.0,589.0
2018-05-24,0.0866983760352608,-0.03306018716070149,0.0033333333333333344,0.5401838976007411,0.39266666666666666,0.5769476201403163,0.8167811479303531,589.0,589.0,589.0
2018-05-25,0.12592119913018635,0.0130207248671469,0.05333333333333335,0.5742702629812584,0.39266666666666666,0.580454927809098,0.8142923779467267,589.0,589.0,559.0
2018-05-26,0.12967718445055249,-0.04102106797409606,0.0,0.5837664914314473,0.39266666666666666,0.5839514998576999,0.8117885474764612,589.0,559.0,559.0
2018-05-27,0.14435978565622712,-0.03253809996047512,0.010000000000000002,0.5974609985231609,0.37266666666666665,0.5874372716163818,0.8092697028283595,559.0,559.0,559.0
2018-05-28,0.14935644491204203,-0.043131193711264344,0.0,0.6035585586033676,0.37266666666666665,0.5909121786151567,0.8067358905889146,559.0,559.0,559.0
2018-05-29,0.14806437004138837,-0.0429926498648505,0.0,0.6022590772188323,0.37266666666666665,0.5943761565849831,0.804187157621448,559.0,559.0,559.0
2018-05-30,0.1550216835082095,-0.043738653823516306,0.0,0.6092562718411045,0.37266666666666665,0.5978291414589544,0.8016235510652425,559.0,559.0,559.0
2018-05-31,0.1595936548695062,-0.04422888741018729,0.0,0.6138544509478834,0.37266666666666665,0.601271069373483,0.799045118334671,559.0,559.0,559.0
2018-06-01,0.16625279538956983,-0.0449429195165413,0.0,0.6205517634174385,0.37266666666666665,0.6047018766694818,0.7964519071183186,559.0,559.0,559.0
2018-06-02,0.17221620100835372,-0.04558235084588391,0.0,0.6265493528497927,0.37266666666666665,0.6081214998935419,0.7938439653781019,559.0,559.0,1200.0
2018-06-03,0.22943364344516828,0.2667643428676586,0.3166666666666668,0.6501399233179654,0.37266666666666665,0.611529875799105,0.791221341348381,559.0,1200.0,1200.0
2018-06-04,0.2833641733322768,0.06654002413631009,0.12333333333333339,0.7251099312381939,0.7999999999999999,0.6149269413476353,0.7885840835350673,1200.0,1200.0,1200.0
2018-06-05,0.3766845270448055,0.3414911431478941,0.40666666666666684,0.7885845599096228,0.7999999999999999,0.6183126337097828,0.7859322407147271,1200.0,1200.0,1500.0
2018-06-06,0.3365835364405076,-0.029682371872360044,0.03333333333333334,0.7882846896729916,0.7999999999999999,0.6216868902665479,0.7832658619336791,1200.0,1500.0,1500.0
2018-06-07,0.30217651394957123,-0.056165017014438184,0.0033333333333333344,0.7568972130236489,1.0,0.6250496486104372,0.780584996507087,1500.0,1500.0,1500.0
2018-06-08,0.27230222900264095,-0.05631416183110756,0.0,0.7272091003494552,1.0,0.6284008465466195,0.7778896940180478,1500.0,1500.0,1500.0
2018-06-09,0.24437356243136654,-0.05331948638320829,0.0,0.6991203392965417,1.0,0.6317404220940755,0.7751800043166743,1500.0,1500.0,1500.0
2018-06-10,0.2133637833086677,-0.04999443597500013,0.0,0.6679328039425627,1.0,0.6350683134867438,0.7724559775191742,1500.0,1500.0,1500.0
2018-06-11,0.17778342428212762,-0.0236645025813352,0.0223864734299517,0.6297480799244113,1.0,0.6383844591746637,0.7697176640069215,1500.0,1500.0,1500.0
