,Rainfall,LakeLevel,DayOfWeek,Month,AverageGate,FlowRate,IsWeekend
2018-09-27,0.0,279.1298333333333,3,9,549.0,25.19885612332463,False
2018-09-28,0.4615,279.1247916666667,4,9,549.0,25.10120771858397,False
2018-09-29,0.0,279.1175,5,9,549.0,24.97584722609243,True
2018-09-30,0.0,279.1181304347826,6,9,399.0,20.478433012366455,True
2018-10-01,0.0,279.12454166666663,0,10,399.0,20.504447020000416,False
2018-10-02,2.3075,279.1274583333333,1,10,399.0,20.634686181490626,False
2018-10-03,0.0,279.1310833333333,2,10,399.0,20.634691810653607,False
2018-10-04,0.0,279.13475,3,10,399.0,20.647726994153565,False
2018-10-05,0.0,279.13516666666663,4,10,399.0,20.699912750203076,False
2018-10-06,0.0,279.1389583333333,5,10,399.0,20.686860685965566,True
2018-10-07,0.0,279.14074999999997,6,10,399.0,20.712964814440586,True
2018-10-08,0.0,279.14416666666665,0,10,399.0,20.73908018774986,False
2018-10-09,0.0,279.1413333333333,1,10,399.0,20.73908018774986,False
2018-10-10,0.0,279.1394583333333,2,10,399.0,20.712964814440586,False
2018-10-11,17.0755,279.1468333333333,3,10,399.0,20.634686181490626,False
2018-10-12,14.3065,279.1765,4,10,399.0,21.000851402483757,False
2018-10-13,3.2305,279.17929166666664,5,10,500.0,24.698045446076303,True
2018-10-14,0.0,279.1718333333333,6,10,399.0,21.211074686231623,True
2018-10-15,0.0,279.1730833333333,0,10,399.0,21.18475766775076,False
2018-10-16,0.0,279.17074999999994,1,10,399.0,21.119015374659817,False
2018-10-17,0.0,279.1640833333333,2,10,399.0,21.119015374659817,False
2018-10-18,0.0,279.162625,3,10,399.0,21.040215155570195,False
2018-10-19,0.0,279.15804166666663,4,10,399.0,20.96151563886812,False
2018-10-20,0.0,279.15091666666666,5,10,399.0,20.922202280127262,True
2018-10-21,0.0,279.14275,6,10,399.0,20.81749373184897,True
2018-10-22,0.0,279.1405,0,10,399.0,20.765206801407206,False
2018-10-23,0.0,279.133875,1,10,399.0,20.73908018774986,False
2018-10-24,0.0,279.12766666666664,2,10,399.0,20.6607678068165,False
2018-10-25,0.0,279.12125,3,10,330.0,18.109085704712584,False
2018-10-26,0.923,279.12308333333334,4,10,330.0,18.1714698160823,False
2018-10-27,14.768,279.1270833333333,5,10,330.0,18.15898595877383,True
2018-10-28,8.7685,279.15433333333334,6,10,330.0,18.45937082186293,True
2018-10-29,11.537500000000001,279.16875,0,10,330.0,18.635371448992174,False
2018-10-30,1.3845,279.17612499999996,1,10,400.0,21.29009268731059,False
2018-10-31,0.4615,279.17366666666663,2,10,400.0,21.27691744385147,False
2018-11-01,5.410046728971962,279.1675833333333,3,11,400.0,21.211074686231623,False
2018-11-02,0.0,279.15624999999994,4,11,400.0,21.10587361938763,False
2018-11-03,0.0,279.155,5,11,400.0,20.9877376145754,True
2018-11-04,3.4427570093457946,279.14849999999996,6,11,400.0,20.90910529920547,True
2018-11-05,0.0,279.14095833333334,0,11,400.0,20.83057388576873,False
2018-11-06,0.0,279.1406666666666,1,11,400.0,20.804419191390476,False
2018-11-07,0.0,279.1383333333333,2,11,400.0,20.73908018774986,False
2018-11-08,0.491822429906542,279.133625,3,11,400.0,20.712964814440586,False
2018-11-09,0.0,279.131875,4,11,400.0,20.634686181490626,False
2018-11-10,0.983644859813084,279.1289583333333,5,11,400.0,20.608615814490708,True
2018-11-11,0.0,279.1245833333333,6,11,400.0,20.530472308557655,True
2018-11-12,6.393691588785046,279.11920833333335,0,11,400.0,20.439434574105512,False
2018-11-13,8.360981308411214,279.1395416666666,1,11,400.0,20.765206801407206,False
2018-11-14,0.0,279.13645833333334,2,11,400.0,20.686860685965566,False
2018-11-15,0.0,279.13025,3,11,400.0,20.582556710325058,False
2018-11-16,0.0,279.1250833333333,4,11,400.0,20.608615814490708,False
2018-11-17,0.0,279.1182083333333,5,11,400.0,20.74917128401643,True
2018-11-18,0.0,279.1105833333333,6,11,400.0,20.617120948926782,True
2018-11-19,0.491822429906542,279.10366666666664,0,11,299.0,17.03559509614493,False
2018-11-20,5.901869158878505,279.1057916666667,1,11,299.0,17.023300794113055,False
2018-11-21,20.656542056074766,279.11424999999997,2,11,299.0,17.08479844179749,False
2018-11-22,0.491822429906542,279.12204166666663,3,11,299.0,17.19569531917443,False
2018-11-23,0.0,279.12720833333333,4,11,299.0,17.220375309279504,False
2018-11-24,11.311915887850468,279.14004166666666,5,11,299.0,17.33159813358295,True
2018-11-25,44.75584112149533,279.1624166666666,6,11,500.0,24.655201105141998,True
2018-11-26,3.934579439252337,279.179375,0,11,500.0,24.99415367846767,False
2018-11-27,0.983644859813084,279.17729166666663,1,11,529.0,25.748708217258958,False
2018-11-28,0.0,279.1624166666666,2,11,529.0,25.619992934461564,False
2018-11-29,0.491822429906542,279.15299999999996,3,11,529.0,25.32058728702335,False
2018-11-30,6.393691588785046,279.152125,4,11,550.0,25.705775748824603,False
2018-12-01,25.574766355140188,279.1692083333333,5,12,550.0,25.892002026574687,True
2018-12-02,22.132009345794394,279.20987499999995,6,12,524.0,26.294780504176,True
2018-12-03,14.754672897196262,279.20074999999997,0,12,1200.0,37.052096414238065,False
2018-12-04,9.83644859813084,279.189375,1,12,1200.0,36.69264030386398,False
2018-12-05,0.983644859813084,279.1705416666667,2,12,539.0,25.992480413611258,False
2018-12-06,0.983644859813084,279.169625,3,12,539.0,25.94940153050373,False
2018-12-07,0.0,279.16499999999996,4,12,539.0,25.868767107501963,False
2018-12-08,0.0,279.158625,5,12,539.0,25.81902742226744,True
2018-12-09,0.0,279.1562083333333,6,12,539.0,25.67716974247138,True
2018-12-10,0.0,279.15316666666666,0,12,539.0,25.562863089019007,False
2018-12-11,3.9345794392523366,279.15329166666663,1,12,539.0,25.64857546986932,False
2018-12-12,2.9509345794392523,279.1542083333333,2,12,539.0,25.562863089019007,False
2018-12-13,0.0,279.154375,3,12,539.0,25.59142213969477,False
2018-12-14,6.393691588785046,279.15341666666666,4,12,539.0,25.662872606170353,False
2018-12-15,10.820093457943925,279.16570833333327,5,12,539.0,25.848981666585505,True
2018-12-16,0.0,279.1612083333333,6,12,539.0,25.76302294902874,True
2018-12-17,0.0,279.1565833333333,0,12,539.0,25.72008461715689,False
2018-12-18,0.0,279.1451666666666,1,12,539.0,25.534315785887777,False
2018-12-19,1.9672897196261685,279.13124999999997,2,12,539.0,25.349046372704414,False
2018-12-20,28.52570093457944,279.16325,3,12,539.0,25.94940153050373,False
2018-12-21,0.0,279.165375,4,12,539.0,25.90634604981924,False
2018-12-22,0.0,279.1594583333333,5,12,539.0,25.748708217258958,True
2018-12-23,4.918224299065421,279.157,6,12,539.0,25.67716974247138,True
2018-12-24,68.85514018691589,279.19849999999997,0,12,539.0,26.511493957267056,False
2018-12-25,49.674065420560744,279.2803333333333,1,12,1500.0,41.10749409545373,False
2018-12-26,0.0,279.24562499999996,2,12,1500.0,39.788881632527136,False
2018-12-27,0.0,279.22841666666665,3,12,1500.0,38.985332029779855,False
2018-12-28,0.0,279.2031666666666,4,12,1500.0,37.82435981190856,False
2018-12-29,3.934579439252336,279.190625,5,12,529.0,26.078720042333707,True
2018-12-30,0.0,279.1949583333333,6,12,529.0,26.121880762455746,True
2018-12-31,0.0,279.19466666666665,0,12,529.0,26.078720042333707,False
